Year,Age,Country,mx,logmx,Sex,Country_fact,Sex_fact,mx_scale,mx_deep_reg,mx_deep_reg_full
2016,0,GBRTENW,0.004211,-5.47005512980235,Male,17,1,0.472244119956143,0.00293712240760208,0.00293712240760208
2016,1,GBRTENW,0.000278,-8.18788944427364,Male,17,1,0.263487925667874,0.000235895889075382,0.000235895889075382
2016,2,GBRTENW,0.000133,-8.92516142974252,Male,17,1,0.206858243342378,0.000145813456265938,0.000145813456265938
2016,3,GBRTENW,0.000135,-8.91023577952585,Male,17,1,0.208004678914231,0.000117972367738248,0.000117972367738248
2016,4,GBRTENW,8.2e-05,-9.40879131070002,Male,17,1,0.169710749525259,0.00010112832405382,0.00010112832405382
2016,5,GBRTENW,0.000106,-9.15207146385221,Male,17,1,0.189429338675769,9.34477987024953e-05,9.34477987024953e-05
2016,6,GBRTENW,6.2e-05,-9.68837617291918,Male,17,1,0.148235904091631,8.71167481967304e-05,8.71167481967304e-05
2016,7,GBRTENW,7.1e-05,-9.55283068092296,Male,17,1,0.158647120445549,8.16407322338531e-05,8.16407322338531e-05
2016,8,GBRTENW,5.7e-05,-9.77245929012972,Male,17,1,0.141777500259099,7.85609845796585e-05,7.85609845796585e-05
2016,9,GBRTENW,7.6e-05,-9.48477721767794,Male,17,1,0.163874290446134,7.57304640430303e-05,7.57304640430303e-05
2016,10,GBRTENW,7.2e-05,-9.53884443894822,Male,17,1,0.159721400298259,7.69742208260396e-05,7.69742208260396e-05
2016,11,GBRTENW,8.9e-05,-9.32687418823213,Male,17,1,0.176002783827125,7.94326106453178e-05,7.94326106453178e-05
2016,12,GBRTENW,0.000104,-9.1711196588229,Male,17,1,0.18796625144158,8.64042531388093e-05,8.64042531388093e-05
2016,13,GBRTENW,8.8e-05,-9.33817374348607,Male,17,1,0.175134867729591,9.63403570546021e-05,9.63403570546021e-05
2016,14,GBRTENW,0.000143,-8.85266592770437,Male,17,1,0.212426605264928,0.000124237338997811,0.000124237338997811
2016,15,GBRTENW,0.000155,-8.77208544104503,Male,17,1,0.218615972894637,0.000166585929613354,0.000166585929613354
2016,16,GBRTENW,0.000215,-8.44487252983661,Male,17,1,0.24374911721552,0.000219014063257781,0.000219014063257781
2016,17,GBRTENW,0.000286,-8.15951874714442,Male,17,1,0.265667072031015,0.000278343794835183,0.000278343794835183
2016,18,GBRTENW,0.000375,-7.88858453199386,Male,17,1,0.286477463362141,0.000395145961287524,0.000395145961287524
2016,19,GBRTENW,0.000417,-7.78242433616547,Male,17,1,0.294631602246925,0.000444915525733628,0.000444915525733628
2016,20,GBRTENW,0.000506,-7.58897388867681,Male,17,1,0.309490484183204,0.00044389904651101,0.00044389904651101
2016,21,GBRTENW,0.000506,-7.58897388867681,Male,17,1,0.309490484183204,0.000475089172945491,0.000475089172945491
2016,22,GBRTENW,0.000516,-7.56940379248271,Male,17,1,0.310993658523738,0.000447443741409887,0.000447443741409887
2016,23,GBRTENW,0.000549,-7.50741211645474,Male,17,1,0.315755224118904,0.000453257856612803,0.000453257856612803
2016,24,GBRTENW,0.000557,-7.49294531803699,Male,17,1,0.316866415395409,0.000465630312658561,0.000465630312658561
2016,25,GBRTENW,0.000598,-7.42191980401364,Male,17,1,0.322321867895193,0.00048652155546157,0.00048652155546157
2016,26,GBRTENW,0.000623,-7.38096403917682,Male,17,1,0.325467670255542,0.000487985976924897,0.000487985976924897
2016,27,GBRTENW,0.00059,-7.43538802106451,Male,17,1,0.321287377411202,0.000527138093477475,0.000527138093477475
2016,28,GBRTENW,0.000659,-7.32478702346177,Male,17,1,0.329782613202838,0.000527458485594449,0.000527458485594449
2016,29,GBRTENW,0.000685,-7.28609171970205,Male,17,1,0.332754790096292,0.000562875966487063,0.000562875966487063
2016,30,GBRTENW,0.000754,-7.19011818995632,Male,17,1,0.340126493630776,0.000603626180495538,0.000603626180495538
2016,31,GBRTENW,0.000776,-7.16135803778106,Male,17,1,0.342335553941514,0.000634645821223393,0.000634645821223393
2016,32,GBRTENW,0.000892,-7.02204442538427,Male,17,1,0.35303619870917,0.000687028255876663,0.000687028255876663
2016,33,GBRTENW,0.000872,-7.04472113405529,Male,17,1,0.351294406218016,0.000795079248933014,0.000795079248933014
2016,34,GBRTENW,0.000915,-6.99658649268875,Male,17,1,0.354991616342859,0.000842947549916048,0.000842947549916048
2016,35,GBRTENW,0.000978,-6.93000088792946,Male,17,1,0.360106040489291,0.000887697644565882,0.000887697644565882
2016,36,GBRTENW,0.001106,-6.80700537588199,Male,17,1,0.369553295928246,0.000996415317305756,0.000996415317305756
2016,37,GBRTENW,0.001051,-6.85801318708732,Male,17,1,0.365635398325179,0.00108531444974039,0.00108531444974039
2016,38,GBRTENW,0.001189,-6.73464266127349,Male,17,1,0.375111458480541,0.00117968409482393,0.00117968409482393
2016,39,GBRTENW,0.001326,-6.62558838721847,Male,17,1,0.383487890811747,0.00131490520490531,0.00131490520490531
2016,40,GBRTENW,0.001416,-6.55991928371061,Male,17,1,0.388531918719419,0.00153242322362299,0.00153242322362299
2016,41,GBRTENW,0.001627,-6.42101745074524,Male,17,1,0.399200934808855,0.00169654077354493,0.00169654077354493
2016,42,GBRTENW,0.001646,-6.40940717672726,Male,17,1,0.400092717139269,0.00183716506818026,0.00183716506818026
2016,43,GBRTENW,0.002004,-6.21261009575952,Male,17,1,0.415208653181109,0.00211735220867301,0.00211735220867301
2016,44,GBRTENW,0.002189,-6.12431046044141,Male,17,1,0.421990926746463,0.00223739678957919,0.00223739678957919
